

Software Version	3.16.10



Experiment File Path:	C:\Users\48707651\Documents\Caleb\CMG2_164.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	3/11/2026
Time	4:10:11 PM
Reader Type:	Cytation5
Reader Serial Number:	1601252F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Start Kinetic	Runtime 7:00:00 (HH:MM:SS), Interval 0:01:00, 421 Reads
    Read	Luminescence Endpoint
	A1..C8
	Integration Time: 0:01.00 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 100 msec
	Extended Dynamic Range
	Read Height: 4.5 mm
End Kinetic	

Lum

Time	T° Lum	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	21.7	3	20	38	119	157	165	671	543					9	23	34	171	65	97	372	358					8	28	40	110	106	99	418	473																																																																
0:01:00	21.7	9	27	45	148	189	202	765	621					8	25	43	211	89	134	441	461					9	33	45	131	124	110	477	526																																																																
0:02:00	21.8	9	31	52	172	214	237	830	676					10	29	43	228	103	156	509	525					9	37	53	146	137	120	518	561																																																																
0:03:00	21.8	11	34	60	189	224	259	867	715					11	32	48	249	117	177	549	583					10	38	61	155	148	133	531	586																																																																
0:04:00	21.8	10	37	63	196	234	255	882	735					10	33	52	268	127	191	584	615					11	40	64	165	153	136	560	582																																																																
0:05:00	21.8	13	40	65	214	251	287	912	744					11	33	56	279	138	202	603	629					10	43	62	175	164	136	559	615																																																																
0:06:00	21.8	12	40	68	222	258	287	925	764					10	35	54	296	144	204	624	632					12	44	73	183	165	144	581	599																																																																
0:07:00	21.8	13	43	67	227	278	297	919	742					11	36	56	314	151	220	632	647					12	41	69	193	175	150	580	617																																																																
0:08:00	21.8	11	41	72	232	272	299	933	744					12	35	60	322	155	222	646	653					11	48	70	197	180	155	570	615																																																																
0:09:00	21.8	14	42	78	233	285	307	916	747					13	38	61	332	165	227	653	658					11	46	73	195	182	157	580	607																																																																
0:10:00	21.8	14	45	77	239	299	310	907	733					14	41	63	342	167	226	654	655					12	46	78	213	192	157	574	609																																																																
0:11:00	21.8	14	46	77	239	292	328	931	737					12	36	65	349	165	229	663	639					10	48	73	210	186	158	570	603																																																																
0:12:00	21.9	14	47	77	250	301	311	907	727					12	41	63	350	177	230	648	649					11	48	77	214	193	159	573	593																																																																
0:13:00	21.9	13	49	78	246	303	315	891	701					12	44	61	362	175	231	646	634					12	52	78	215	192	162	557	574																																																																
0:14:00	21.9	14	48	79	254	315	319	891	698					12	43	64	357	177	231	651	643					12	52	84	222	189	159	551	576																																																																
0:15:00	21.9	14	45	83	256	300	316	871	683					13	47	68	372	176	231	634	630					12	50	79	219	199	158	553	575																																																																
0:16:00	21.9	15	49	82	268	304	318	863	682					14	40	66	370	186	233	637	622					12	52	85	213	201	164	535	557																																																																
0:17:00	21.9	14	53	82	269	314	320	846	672					14	43	69	380	182	231	628	624					13	52	85	217	201	157	533	558																																																																
0:18:00	21.9	15	53	86	263	315	307	834	656					13	44	64	383	185	239	632	606					14	55	83	222	200	164	533	533																																																																
0:19:00	21.9	14	51	86	267	307	312	830	650					13	45	71	390	185	227	622	601					13	53	86	227	206	156	528	530																																																																
0:20:00	22.0	15	46	83	281	313	311	820	632					12	42	68	387	187	227	616	599					13	50	90	228	203	158	515	522																																																																
0:21:00	22.0	16	51	85	279	312	311	801	629					14	43	74	382	194	233	613	590					13	53	83	232	195	159	499	513																																																																
0:22:00	22.0	14	54	85	279	313	302	783	607					13	48	70	397	195	220	618	578					14	51	85	232	199	153	493	514																																																																
0:23:00	22.0	15	49	88	283	316	310	780	592					13	46	67	403	189	228	608	582					13	53	86	231	204	157	486	496																																																																
0:24:00	22.0	16	53	89	276	310	306	758	588					15	44	70	401	188	219	602	568					14	56	86	241	207	150	481	497																																																																
0:25:00	22.0	16	52	90	281	311	301	756	579					13	46	74	408	189	229	586	569					14	53	91	239	194	152	484	478																																																																
0:26:00	22.0	16	53	91	290	309	300	736	561					14	47	73	410	194	218	590	567					15	53	87	234	199	150	470	457																																																																
0:27:00	22.0	17	52	91	295	310	291	724	553					16	46	76	411	201	212	582	558					14	54	89	235	201	147	463	462																																																																
