

Software Version	3.16.10



Experiment File Path:	C:\Users\48707651\Documents\Caleb\CMG2_168.xpt
Protocol File Path:	C:\Users\48707651\Documents\Caleb\CMG_8x3_7hr.prt



Plate Number	Plate 1
Date	3/16/2026
Time	6:20:49 PM
Reader Type:	Cytation5
Reader Serial Number:	1601252F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Start Kinetic	Runtime 7:00:00 (HH:MM:SS), Interval 0:01:00, 421 Reads
    Read	Luminescence Endpoint
	A1..C8
	Integration Time: 0:01.00 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 100
	Read Speed: Normal,  Delay: 100 msec
	Extended Dynamic Range
	Read Height: 4.5 mm
End Kinetic	

Lum

Time	T° Lum	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	22.6	99	100	93	2	0	2	8	22					107	96	92	3	2	3	8	21					46	86	86	4	3	3	8	20																																																																
0:01:00	22.6	101	93	93	4	3	3	10	21					107	91	96	4	3	3	8	23					47	85	80	4	3	3	8	21																																																																
0:02:00	22.5	99	93	84	5	3	3	9	23					97	85	80	4	3	3	7	22					40	79	76	4	3	3	8	23																																																																
0:03:00	22.5	91	89	83	4	3	3	9	22					96	82	83	4	4	3	9	21					39	74	71	4	4	3	8	20																																																																
0:04:00	22.5	90	86	77	4	3	3	9	23					88	79	80	4	4	3	8	21					43	73	69	4	3	3	8	19																																																																
0:05:00	22.5	85	77	78	4	4	3	9	25					83	76	76	4	4	3	8	21					39	71	66	4	3	3	9	22																																																																
0:06:00	22.5	74	75	70	4	4	3	9	21					81	74	73	4	4	3	8	22					36	65	65	4	3	4	9	23																																																																
0:07:00	22.5	77	70	72	4	3	2	9	20					72	72	67	4	3	4	9	20					34	63	58	4	3	3	8	21																																																																
0:08:00	22.5	74	67	69	4	4	3	9	20					71	65	64	4	3	3	8	21					33	61	59	4	3	3	9	19																																																																
0:09:00	22.5	65	67	63	4	3	3	8	23					70	63	59	4	4	4	8	21					32	57	55	3	3	3	8	20																																																																
0:10:00	22.5	66	63	63	4	3	3	8	23					68	61	61	5	3	4	8	20					33	52	52	4	3	3	7	19																																																																
0:11:00	22.5	61	61	56	4	3	3	9	21					64	57	56	4	3	4	8	21					32	51	51	4	4	4	8	19																																																																
