

Software Version	2.09.1



Experiment File Path:	C:\Users\Lippert Lab\Documents\LippertLab\Caleb\CMG1_210.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	10/28/2024
Time	4:18:21 PM
Reader Type:	Cytation5
Reader Serial Number:	1601252F
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE
Eject plate on completion	
Start Kinetic	Runtime 2:00:00 (HH:MM:SS), Interval 0:01:00, 121 Reads
    Read	Luminescence Endpoint
	A1..F8
	Integration Time: 0:01.00 (MM:SS.ss)
	Filter Set 1
	    Emission: Full light
	    Optics: Top,  Gain: 135
	Read Speed: Normal,  Delay: 100 msec
	Extended Dynamic Range
	Read Height: 1 mm
End Kinetic	

Lum

Time	T° Lum	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	24.0	53600	49932	45174	53243	64649	40878	169122	364325					47713	47922	49279	49286	49451	454260	480259	55850					55628	48830	51275	47844	58626	104655	191792	302466					55269	54131	49054	35584	27497	358349	449498	60113					58350	55794	53330	47026	34286	50662	162299	422618					60590	64352	55568	48959	38586	496033	582182	60573																												
0:01:00	24.0	53764	50057	45416	52962	64483	40813	173594	367856					47983	47706	49338	49214	50059	443384	469297	55165					55515	48483	51006	47745	58770	101380	189029	300772					55143	54584	48929	35588	27341	344263	433669	59130					58276	55654	53317	46662	34821	50757	162639	428769					59927	64209	54907	48420	38606	474631	572593	59392																												
0:02:00	24.0	53620	49851	45253	52925	63977	40263	174147	365825					47997	47422	49246	49028	49488	427276	449945	55268					55397	48225	51437	47789	58287	99511	185245	294731					55474	54697	48347	35940	27621	329198	424793	58668					58336	55492	53417	46386	34723	50741	159588	432566					59439	63532	54619	47964	38791	456229	560076	58950																												
0:03:00	24.0	53099	48914	44808	52189	63725	40235	170924	362164					47597	47204	49312	48832	49199	415954	435208	54763					54573	48152	51254	47198	58558	97332	183773	287355					55054	54480	48027	35785	27369	319318	409199	57904					57644	55600	53338	46365	34837	50217	157281	429194					58891	62888	54412	47972	38291	437250	546629	57948																												
0:04:00	24.0	52596	48989	44420	52152	63636	40136	170252	360155					47172	47119	48483	48527	49308	403059	421989	53874					54403	48098	51368	47132	57973	95110	179360	281859					54987	54347	48419	35729	27607	305889	402384	57288					57493	55256	53504	46636	34750	50182	152931	426520					58131	61956	53795	47620	37960	425284	532520	57149																												
0:05:00	24.1	52441	48712	43975	51660	63277	39448	168845	352554					47048	46966	48694	48555	49033	393097	407842	53695					53940	47588	50565	47085	57467	93532	177122	275136					54176	54188	47802	35837	27837	297424	388056	56914					57283	55103	52836	46091	34898	49813	148950	422420					57401	61245	53290	47076	37911	405847	515401	55867																												
0:06:00	24.1	51913	48388	43874	50739	62560	39876	165206	341937					46411	46639	48088	47508	48760	386362	394578	53161					53196	47459	50699	47163	57337	91382	172784	269596					54149	54030	47873	35761	27786	286974	377679	55650					56771	54811	52405	45797	34659	48905	145771	412832					56608	60613	52483	46660	37961	395695	506939	55178																												
0:07:00	24.1	50954	47774	43337	50544	61932	39169	162250	336992					45793	46434	47607	47634	47887	375353	382951	52441					52573	47186	50107	46539	56816	89380	167777	263116					53309	53508	47699	35824	27704	276786	365818	55025					56067	54387	52070	46006	34856	48492	142759	406891					55783	59575	52084	46494	37480	381580	495870	54453																												
0:08:00	24.1	50535	47366	43120	50141	61518	38855	160481	326341					45389	46016	47306	46826	47956	364691	370049	51678					52613	46980	49682	46102	56287	87347	166261	256224					52599	52762	47018	35715	28141	270396	358044	54153					55811	54279	51752	45295	34532	48241	140951	400182					55077	58973	51528	46035	36855	364800	487438	53756																												
0:09:00	24.1	49719	46678	42647	49410	60601	38014	156248	318255					44868	45703	46678	46480	47073	355312	359247	51051					51932	46133	49317	45420	55203	85497	163864	246506					52108	52520	46574	35648	27717	261904	349562	52960					54761	53455	51360	45022	34782	47637	136195	394102					54459	58646	50659	45284	36956	354015	464967	52661																												
0:10:00	24.1	49109	46204	42276	48771	59617	37630	152409	311047					44518	45291	46661	45570	46748	343791	349841	50499					51202	45682	48815	45276	54838	83757	158698	240347					51661	51435	46518	35547	28014	251465	336632	52533					53988	52841	50670	44507	34623	47100	134525	383132					53842	57389	50367	45434	36722	345289	457398	51817																												
0:11:00	24.1	49040	45398	42004	48294	59266	37348	148715	303592					43782	44299	46058	45101	45622	335365	338005	49965					50766	45087	48193	44499	54237	81351	154617	235218					50968	51006	45826	34999	28046	245416	328009	51469					53252	52157	50210	44477	34563	46247	129865	370767					52858	56281	49522	45060	36588	333169	443958	51145																												
0:12:00	24.2	48288	45086	41623	47619	58331	36855	146718	294155					43448	44185	45475	44467	45593	325371	328829	49228					50548	44830	47654	44169	53661	79912	152439	226358					49921	50173	45408	35377	27737	240940	319698	50685					52509	51539	49544	44110	34199	45910	126819	363635					51998	55714	48863	44524	36284	323067	431765	49782																												
0:13:00	24.2	47988	44676	41150	46946	57475	36281	142657	288363					43024	44036	44719	43748	45032	316140	318084	48645					49660	44235	47279	43696	52813	78102	150449	223270					49227	49668	44828	34821	27725	230191	310996	49970					51290	51136	48729	43743	34028	44930	124556	356206					51240	54966	48563	43895	35875	312149	422776	49144																												
0:14:00	24.2	47213	43998	40668	46303	56606	36058	141435	276171					42551	42753	44248	43515	44391	307272	308520	47805					48937	43860	46836	42955	52008	76575	146263	216567					48779	49026	44356	34534	27938	223510	303824	49505					51444	50366	48390	43211	34131	44162	120127	345779					50237	54241	47723	43620	35563	300108	414721	48238																												
0:15:00	24.2	46622	43192	39969	45978	56219	35540	136558	271480					41728	42721	43449	43133	43611	297919	300059	47308					48311	43225	46050	42591	51081	74805	143548	208886					47996	48315	43814	34465	27734	216723	296118	48464					50139	49934	47677	42655	34170	43617	116707	336579					49732	53732	46996	43215	35298	292040	403880	47497																												
0:16:00	24.2	45800	43024	39674	45564	54756	35287	133243	265197					41076	41685	43277	42247	43380	293038	292046	46480					47584	42722	45343	42090	50679	72841	142056	202955					47269	47737	43349	34465	27586	208510	285531	47882					49570	48866	47013	42580	33811	43525	115400	331953					49081	52337	46221	42554	35405	284007	389091	46583																												
0:17:00	24.2	45076	42611	39109	44545	54447	34823	129684	257670					40811	41158	42554	41746	42673	285561	282619	45526					46975	42221	44274	41103	49842	71355	136909	198920					46147	46720	42593	34256	27432	202922	278329	46808					48682	48515	46372	42064	33787	42454	113559	320965					48607	52148	45773	42197	34995	273208	381898	46105																												
0:18:00	24.2	44675	42048	38483	44117	53098	34072	126273	246804					40111	40868	41738	40966	41987	275539	276544	44676					45822	41434	43738	40953	49204	69775	131803	190114					45839	46498	41922	33818	27452	197586	270698	46034					47880	47557	45543	41419	33184	41956	109373	310040					47612	50791	45010	41606	34873	268214	371591	45332																												
0:19:00	24.2	43708	41295	38298	43471	52006	33563	123644	239477					39686	40040	41214	40831	41286	267252	265285	44191					45658	41200	43366	40198	48535	68151	130802	185797					44964	45741	41550	33290	27298	191075	265027	44997					47283	46992	45115	41422	33269	41409	106906	302418					46783	50079	44408	41024	34259	258705	358619	44309																												
0:20:00	24.2	43205	40735	37675	42382	51261	32967	120039	236571					39136	39717	40702	39883	40898	263319	260401	43579					44750	40475	42708	39632	47638	66654	126526	181977					44534	44631	40961	33009	27123	185538	257612	44481					46371	46132	44126	40824	33020	40734	104120	293261					45895	48923	43922	40634	34078	248576	352396	43529																												
0:21:00	24.3	42412	39913	37020	41869	50480	32667	116422	227737					38520	39090	39978	38954	39991	256385	254461	42889					44184	39959	41889	38980	46735	65071	124485	177974					43382	43859	40442	32720	27116	180347	246488	43784					45395	45552	43467	40289	32706	39967	101600	288494					45198	47878	43001	39867	33898	241938	342910	42777																												
0:22:00	24.3	41636	39145	36592	41218	49807	31989	112876	222664					37911	38679	39658	38735	39455	246883	243001	42017					43312	39325	41257	38299	46029	63869	120969	172594					42965	43294	39732	32412	27101	173881	243070	42992					44836	44514	43062	39641	32289	39240	99211	278585					44465	47251	42415	39486	33312	234417	335590	41789																												
0:23:00	24.3	41013	38717	36405	40439	48804	31170	110298	216820					37447	37418	38540	37800	38549	241019	237558	41562					42699	38475	40615	37655	45189	62372	116620	167022					42170	42705	39187	31895	27134	167802	236432	41792					43970	44143	42170	39497	32256	38639	96799	272071					43620	46285	41602	39119	33425	225059	326150	41190																												
0:24:00	24.3	40469	38211	35561	39650	48010	30936	106308	211826					36966	37100	38298	37069	38120	233071	231070	40762					41596	38207	40112	37081	44386	60248	113686	161829					41581	41477	38512	32011	26760	163762	230479	41349					43173	43655	41501	39130	32050	37879	94264	262073					43086	45263	41087	38624	33256	220526	314529	40658																												
0:25:00	24.3	39695	37462	34949	39113	46637	30575	104705	203233					36490	36490	37421	36202	37249	228155	226424	40064					41421	37473	39359	36762	43797	59726	111360	156445					40877	40758	37825	31081	26861	157434	222550	40698					42320	42304	40758	38496	31798	37395	91769	255901					41854	44669	40225	38159	32535	213385	310699	39922																												
0:26:00	24.3	38942	36827	34333	38625	46130	30035	102160	196204					35412	35849	37053	35623	36854	225891	217460	39670					40546	37106	38572	35936	42740	57723	110513	150937					39982	40343	37738	31304	26745	154943	217007	39449					41613	41825	39909	38060	31662	37104	89235	248385					41446	43618	39392	37305	32659	203993	301527	38806																												
0:27:00	24.3	38491	36680	33709	37778	45207	29615	99498	192339					35013	35518	35893	35110	36086	215735	209872	38703					39945	36416	38395	35175	42085	56580	107152	148935					39146	39617	36674	30893	26240	150667	212904	39019					40672	41366	39269	37469	31683	36454	87402	240742					40601	42946	38866	37179	32197	200496	294217	38027																												
0:28:00	24.3	37757	35729	33281	37470	44535	29147	97388	186821					34370	34824	35446	34514	35794	209031	205622	38387					39093	35773	37000	34731	41255	55002	103889	144828					38596	38806	36184	30514	26372	145164	204040	38310					40015	40511	38644	36772	31337	35590	84723	234555					40068	41907	38506	36532	31840	194647	282599	37579																												
0:29:00	24.3	36800	35050	32807	36890	43334	28295	94639	178997					34060	33988	34767	33959	35041	205059	201072	37251					38415	34897	37031	33759	40961	53934	101700	138650					37383	37992	35535	29940	26314	142515	200159	37386					39270	39597	37991	36132	31172	34930	82543	227991					39127	40973	37412	36162	31407	187737	278885	36370																												
0:30:00	24.3	36535	34481	32581	35900	42840	28134	92891	175032					33120	33494	34155	33183	34435	198236	193013	36909					37699	34599	35891	33435	39894	52958	98624	135140					37184	37253	34791	29486	26119	136612	193961	37075					38504	39025	37235	36278	30720	34435	81189	223114					38554	40409	36906	35665	30962	181766	268358	36055																												
0:31:00	24.3	35662	33860	31794	35423	41841	27516	89696	173034					32675	33048	33814	32497	34026	197133	187086	36405					36911	33790	35378	32707	39148	51265	96975	131038					36206	36644	34393	29325	25709	132288	191653	36210					37891	38325	36354	35276	30559	33750	78972	215132					37805	39410	36231	35028	30916	178334	263370	35475																												
0:32:00	24.4	34905	33385	31425	34602	41027	26742	87405	166720					32144	32597	32735	32000	33503	189505	181869	35697					36291	33432	34829	31951	38014	50259	94058	127279					35414	35585	33953	29007	25529	130032	185612	35463					36868	37821	35460	35156	30136	33196	77039	208517					37172	39067	35540	34414	30655	171555	256586	34689																												
0:33:00	24.4	34582	32857	30576	34200	39899	26385	85335	160663					31110	31458	32759	31168	32869	183073	178126	34961					35635	32656	34050	31602	37660	49387	91803	123821					34702	34932	32892	28344	25423	126134	179533	35076					36325	36779	35343	34445	30137	32591	74961	203437					36371	37948	34856	33808	30296	167079	250907	33839																												
